agreeableness,conscientiousness,performance
4.0,4.0,5.0
4.25,4.0,4.2
5.0,3.0,3.6
5.5,5.6,5.6
5.4,5.6,4.8
4.4,4.4,3.4
4.4,3.6,5.2
3.8,3.6,5.0
4.6,1.2,5.4
4.8,4.4,4.4
5.4,3.8,5.2
5.0,4.8,6.0
4.0,5.8,4.0
5.6,4.0,5.8
3.8,4.2,5.2
4.8,3.6,5.4
5.2,4.4,3.2
5.6,4.6,5.0
5.0,4.4,4.2
4.6,5.2,4.6
5.4,3.8,3.8
3.8,4.0,2.8
5.8,4.2,4.8
5.0,2.4,3.6
3.8,4.4,3.4
5.6,3.2,4.6
5.2,4.8,3.8
4.0,4.0,3.2
3.2,4.6,3.2
5.0,5.4,2.8
5.6,5.25,5.8
4.0,5.2,5.8
5.8,5.0,3.6
4.75,5.0,2.6
4.6,4.8,4.6
5.4,5.2,2.8
4.8,5.4,4.4
4.4,4.4,5.0
5.0,5.2,3.2
4.6,5.4,4.6
5.2,4.8,5.4
5.8,5.0,5.8
5.0,4.6,5.6
3.2,3.2,3.6
3.8,4.8,2.8
5.0,4.6,3.8
5.2,4.6,3.8
5.4,3.6,4.8
5.2,4.2,5.0
4.4,3.5,3.4
5.2,4.4,4.8
4.8,4.2,3.6
4.6,2.6,3.6
5.4,5.8,5.4
5.0,5.0,3.8
3.6,4.8,2.2
3.8,4.2,3.0
4.0,3.4,3.2
4.6,3.4,4.0
4.6,1.8,2.4
3.6,5.2,1.4
5.8,3.0,4.0
4.6,6.0,3.6
5.4,3.4,4.8
5.0,3.4,4.8
6.0,4.0,4.4
4.75,4.6,3.0
5.4,4.8,4.2
6.0,4.8,3.2
5.2,4.8,5.8
5.0,4.4,5.6
3.75,3.8,4.2
4.2,3.4,4.4
3.6,3.4,3.4
6.0,3.6,4.0
5.8,3.0,4.0
5.6,3.4,6.0
5.6,5.6,5.0
5.6,4.6,5.2
4.8,4.4,5.2
3.8,5.0,5.0
5.8,3.6,4.4
4.2,3.2,4.4
4.0,4.4,2.8
5.4,5.2,5.0
4.2,3.8,5.2
5.8,5.2,5.2
5.2,3.0,4.2
4.8,5.4,3.8
5.0,4.2,5.0
5.8,3.6,5.4
4.8,2.6,3.4
4.6,5.4,3.8
5.4,5.2,4.0
5.0,3.4,4.6
6.0,5.0,5.0
5.2,5.0,4.8
4.4,5.2,1.8
3.8,3.2,3.8
5.0,4.2,4.2
5.6,5.2,5.4
3.4,3.8,3.0
5.8,3.8,3.8
4.6,5.6,3.0
3.4,3.6,3.8
5.8,4.4,4.4
5.2,3.2,4.4
3.4,6.0,5.4
4.6,5.2,3.0
5.0,5.2,5.6
5.0,4.0,4.4
5.2,2.6,2.0
5.0,3.8,3.2
5.2,4.2,4.6
3.4,3.8,2.6
4.4,3.8,4.2
5.0,3.2,3.2
5.5,5.2,3.0
5.4,3.0,5.4
5.0,4.6,5.0
5.8,3.2,4.6
3.4,2.6,2.4
5.6,5.0,4.5
3.6,4.6,3.2
6.0,5.2,5.8
5.5,5.0,2.8
5.6,4.6,5.4
5.4,3.6,4.6
5.6,4.4,5.2
5.6,4.2,4.0
4.2,3.8,3.4
5.4,4.0,4.8
5.4,5.0,4.8
4.6,3.8,3.0
3.8,5.4,4.8
4.0,4.6,2.6
5.4,5.6,5.4
4.4,3.0,4.4
5.25,4.0,4.0
5.5,5.6,5.4
4.6,4.4,4.8
3.4,5.0,4.4
1.6,1.6,3.0
2.8,4.2,4.4
4.6,3.2,5.0
5.2,4.4,4.0
4.6,5.2,3.2
2.6,5.6,5.8
4.8,4.8,5.0
4.0,4.4,3.6
4.8,5.2,5.2
5.8,4.4,4.8
4.0,4.0,5.8
5.2,5.2,4.6
5.6,4.6,4.0
4.6,3.4,4.8
4.8,4.4,5.6
6.0,5.4,6.0
4.4,4.2,5.8
5.4,5.0,4.8
5.6,5.4,5.4
5.0,3.4,3.8
5.8,5.2,5.4
3.2,2.6,3.0
4.8,4.0,4.2
4.8,3.6,3.6
5.4,5.0,5.2
5.0,4.8,3.2
3.8,4.4,3.6
5.8,5.0,4.2
5.4,3.0,3.6
5.0,3.8,5.6
5.4,3.2,5.6
5.2,3.8,5.4
4.8,4.0,5.2
3.8,3.8,3.4
5.4,4.2,4.6
5.0,4.4,3.4
5.4,3.4,2.4
4.2,5.2,4.8
4.4,4.4,3.8
4.0,5.6,5.2
5.6,4.6,5.8
5.4,4.2,4.0
5.2,5.4,3.8
5.2,4.6,4.6
6.0,5.2,5.8
4.2,5.2,3.8
5.0,2.0,4.6
3.4,4.4,3.2
5.8,4.6,5.6
5.6,4.6,5.0
4.25,5.4,2.8
4.6,3.6,2.0
5.2,3.2,6.0
4.0,4.0,3.4
5.6,3.6,3.6
5.4,5.2,4.8
3.0,4.4,3.6
5.6,5.4,5.0
5.6,4.6,2.2
3.8,3.2,3.4
4.8,4.8,5.6
6.0,6.0,5.2
5.0,3.6,2.8
4.0,4.2,3.0
4.0,3.0,3.4
5.2,2.4,5.0
4.4,3.2,2.8
5.6,4.6,5.8
4.8,3.8,5.6
5.2,4.4,4.8
5.0,2.8,2.8
5.2,5.4,5.2
4.2,4.4,4.0
4.6,5.0,4.0
5.2,5.4,4.6
3.6,3.2,4.4
4.8,4.4,3.8
4.6,3.6,5.4
5.4,4.6,3.75
4.0,3.0,3.6
5.4,3.4,3.2
4.8,5.2,5.2
4.8,2.0,5.6
5.0,4.6,4.8
5.4,3.2,4.2
4.2,2.8,3.4
5.2,5.6,4.2
5.0,3.0,5.6
4.0,4.4,2.6
4.0,4.4,3.6
6.0,5.4,6.0
4.6,4.8,3.4
4.6,4.2,4.6
5.8,6.0,5.4
5.2,5.2,4.0
3.6,4.0,5.2
5.4,5.0,5.2
5.2,5.25,5.6
4.0,4.6,4.2
5.0,5.0,4.8
5.8,5.6,4.8
5.0,5.0,3.8
4.0,4.0,4.25
5.6,3.0,4.2
4.0,5.0,4.4
4.6,3.0,4.0
5.0,4.6,3.2
6.0,4.2,5.4
5.0,4.4,4.4
4.2,3.2,5.8
3.5,4.0,4.2
4.4,5.2,4.0
5.0,4.2,4.4
5.4,3.8,5.0
4.2,3.2,3.6
5.0,2.6,3.8
4.4,5.6,5.0
5.4,3.8,4.2
4.4,5.2,4.4
5.4,5.6,5.2
5.2,4.4,4.8
3.6,4.8,1.8
5.6,4.0,4.6
5.2,3.8,4.0
4.6,2.8,3.6
3.0,5.6,2.0
4.6,3.8,4.6
5.2,3.2,4.6
5.8,4.2,2.4
5.0,4.6,4.2
5.4,5.2,5.6
6.0,4.8,3.6
5.6,4.4,4.4
5.2,5.6,5.6
5.8,5.4,3.2
4.5,5.5,4.4
4.5,5.6,4.4
5.8,5.8,5.8
6.0,5.0,5.4
6.0,4.8,5.8
5.4,4.0,5.2
4.6,2.2,4.4
4.6,6.0,4.6
5.6,4.6,4.8
4.6,3.2,3.2
5.8,4.4,4.8
5.4,4.0,4.6
2.2,2.6,4.2
5.8,6.0,5.2
3.2,3.0,1.8
4.4,4.4,5.0
4.8,4.4,5.0
5.6,5.4,5.6
6.0,5.0,6.0
5.0,4.8,5.0
3.4,5.0,4.4
4.8,3.6,4.2
5.0,2.0,3.0
5.6,5.2,4.8
4.4,4.4,4.0
5.4,4.4,4.8
5.25,5.2,6.0
4.8,3.8,5.2
5.6,4.4,1.8
5.8,5.6,5.75
5.0,4.4,4.0
5.8,5.0,4.8
5.8,5.6,4.0
3.2,3.6,3.6
3.8,3.6,3.4
2.0,2.8,2.6
5.8,6.0,3.6
5.0,3.2,5.2
6.0,5.2,6.0
5.2,4.4,5.6
6.0,5.4,5.4
4.0,4.6,2.0
5.0,5.0,5.6
5.8,4.8,3.0
5.2,4.8,4.6
4.8,3.8,4.0
5.2,5.4,4.8
5.4,5.0,3.2
5.4,4.0,5.0
4.8,5.0,3.6
4.6,5.8,5.6
4.8,4.4,3.2
4.6,5.6,4.8
4.2,3.4,5.2
5.6,5.4,4.4
5.6,4.8,5.2
5.0,4.6,4.2
4.2,5.0,4.6
5.0,5.0,4.8
6.0,3.6,5.2
5.6,4.8,4.4
5.0,4.4,4.6
4.0,5.8,5.4
4.8,5.2,5.8
4.6,4.8,2.6
5.0,4.4,4.6
5.4,5.6,4.2
5.0,4.8,3.8
5.0,5.8,5.4
5.2,3.6,4.2
5.0,4.2,4.25
5.6,5.4,5.6
4.4,4.4,3.5
5.0,5.8,6.0
5.0,4.6,3.4
5.2,4.4,3.6
4.4,3.8,5.0
5.4,5.0,4.2
5.2,3.8,4.2
5.6,4.4,5.2
4.0,4.2,2.4
4.8,4.0,4.4
4.6,5.0,3.6
3.8,4.8,4.6
5.8,3.4,3.8
5.4,4.8,4.4
4.0,5.0,4.2
5.2,5.6,5.4
4.4,5.0,4.4
5.0,4.6,3.4
6.0,5.6,5.6
5.4,4.4,4.0
5.4,3.8,5.4
3.8,2.8,4.6
5.8,5.8,5.0
5.2,5.0,5.0
5.8,5.2,5.2
4.2,3.2,3.4
6.0,5.2,5.4
5.6,5.8,5.4
4.2,2.8,3.8
5.2,2.6,2.6
6.0,3.4,6.0
5.0,5.6,3.0
5.4,4.0,3.8
4.4,4.0,5.8
3.0,3.5,2.4
5.0,4.8,4.4
5.0,4.0,3.6
5.6,3.2,3.8
5.4,5.6,5.2
5.2,4.2,4.8
3.2,3.0,3.0
5.0,4.0,4.8
4.8,4.4,4.2
5.6,5.0,5.4
3.2,4.0,4.4
4.8,4.8,3.6
4.4,5.2,5.0
5.4,4.6,4.8
5.4,5.0,4.4
4.2,4.2,3.8
6.0,5.8,5.8
5.4,5.2,4.4
5.0,4.8,5.8
6.0,5.0,3.8
4.4,3.4,3.6
5.2,5.0,5.6
5.2,3.2,5.4
5.8,3.75,5.6
3.6,4.2,3.8
5.6,3.8,2.6
6.0,4.666666666666667,4.2
6.0,4.75,4.2
6.0,5.8,6.0
4.8,3.25,3.0
6.0,5.6,4.0
4.4,3.6,4.2
5.2,3.8,4.2
5.0,5.2,3.6
5.2,6.0,6.0
4.8,5.6,4.0
4.0,3.8,3.0
4.2,4.0,5.0
3.8,2.8,2.0
5.0,5.0,4.6
3.8,4.8,3.8
5.6,3.2,5.0
5.8,4.8,3.6
5.0,4.6,4.2
5.6,5.4,3.8
5.0,4.6,3.4
3.4,3.8,2.8
4.8,3.2,3.0
4.6,4.0,4.2
4.8,4.0,3.8
5.6,5.0,4.0
5.4,3.4,4.8
4.0,4.6,5.8
6.0,5.4,4.2
4.0,3.6,2.6
4.4,5.2,5.0
5.6,4.4,5.2
4.0,3.6,2.4
3.8,3.4,3.0
5.2,5.0,5.6
6.0,5.2,3.6
5.6,4.2,3.8
5.4,3.2,3.2
5.2,5.0,4.2
1.0,6.0,2.0
4.2,5.0,3.6
4.8,3.8,5.2
1.6,2.8,3.4
4.8,5.0,4.8
4.2,4.8,3.4
5.0,4.4,5.2
4.4,3.0,4.0
4.8,4.4,5.0
5.8,4.6,4.8
2.8,4.2,3.8
5.4,5.4,4.0
5.0,6.0,2.6
4.8,3.2,4.0
5.5,5.5,5.5
5.4,4.6,4.2
4.5,5.2,4.0
5.75,4.6,4.8
4.4,4.4,4.4
4.0,4.4,4.6
5.4,3.6,6.0
5.0,3.2,3.8
6.0,3.4,5.0
5.8,6.0,5.8
5.8,4.5,5.6
5.2,4.2,5.0
5.4,5.6,4.2
6.0,6.0,6.0
4.0,3.6,3.0
4.2,3.2,3.6
5.6,5.0,3.4
6.0,5.8,4.6
4.4,4.2,4.4
5.4,5.2,2.6
4.8,5.2,5.2
5.0,3.8,3.8
5.4,5.0,5.2
5.6,5.0,4.8
6.0,5.6,4.8
4.8,4.6,5.0
3.0,4.4,3.6
5.0,4.8,4.6
4.4,5.4,4.6
4.0,4.8,2.6
5.4,5.2,4.6
4.4,3.4,3.4
5.6,5.2,5.2
5.6,4.0,5.8
6.0,5.5,5.2
4.6,4.6,3.6
5.8,5.2,5.2
5.75,5.0,4.2
5.0,3.2,5.8
5.0,5.8,5.4
5.2,5.0,5.4
5.6,5.8,5.4
5.4,4.0,4.0
5.2,5.6,5.2
5.8,4.8,4.8
4.2,4.2,4.2
4.6,4.6,4.8
3.8,4.0,4.6
4.2,3.6,3.2
2.8,3.2,5.4
4.2,4.2,4.8
5.0,5.2,3.25
3.4,3.6,4.2
4.4,5.4,3.8
3.8,4.0,4.0
5.2,4.4,2.8
5.6,5.6,5.8
5.0,4.6,3.6
4.6,5.0,5.2
5.2,5.0,4.0
4.0,3.0,2.4
5.6,4.6,5.0
4.8,5.0,4.2
3.6,2.2,4.8
5.4,4.8,2.4
5.4,3.4,5.0
3.25,3.6,3.8
4.4,3.4,4.6
4.2,2.6,1.4
4.0,4.4,4.4
3.6,3.0,5.0
4.6,4.6,5.4
4.6,4.2,3.6
3.0,4.0,3.2
4.6,4.4,4.6
4.8,3.6,5.4
